Travelling Companion,Continent,Country,Year,Percentage
WITH BUSINESS ASSOCIATE,Europe,Sweden,2017,0
WITH INCENTIVE GROUP,Europe,Sweden,2017,0
OTHERS,Europe,Sweden,2017,2.13419
ALONE,Europe,Denmark,2016,11.8519
WITH SPOUSE,Europe,Denmark,2016,31.8519
WITH CHILDREN,Europe,Denmark,2016,2.96296
WITH FAMILY/RELATIVES,Europe,Denmark,2016,19.2593
STUDENT GROUP,Europe,Denmark,2016,0
WITH FRIENDS,Europe,Denmark,2016,31.1111
WITH BUSINESS ASSOCIATE,Europe,Denmark,2016,2.96296
WITH INCENTIVE GROUP,Europe,Denmark,2016,0
OTHERS,Europe,Denmark,2016,0
ALONE,Europe,Denmark,2017,26.1239
WITH SPOUSE,Europe,Denmark,2017,20.8936
WITH CHILDREN,Europe,Denmark,2017,1.4924
WITH FAMILY/RELATIVES,Europe,Denmark,2017,14.924
STUDENT GROUP,Europe,Denmark,2017,1.4924
WITH FRIENDS,Europe,Denmark,2017,32.0889
WITH BUSINESS ASSOCIATE,Europe,Denmark,2017,2.9848
WITH INCENTIVE GROUP,Europe,Denmark,2017,0
OTHERS,Europe,Denmark,2017,0
ALONE,Europe,Finland,2016,20.1258
WITH SPOUSE,Europe,Finland,2016,41.5094
WITH CHILDREN,Europe,Finland,2016,2.51572
WITH FAMILY/RELATIVES,Europe,Finland,2016,15.0943
STUDENT GROUP,Europe,Finland,2016,0
WITH FRIENDS,Europe,Finland,2016,17.6101
WITH BUSINESS ASSOCIATE,Europe,Finland,2016,2.51572
WITH INCENTIVE GROUP,Europe,Finland,2016,0
OTHERS,Europe,Finland,2016,0.628931
ALONE,Europe,Finland,2017,8.2634
WITH SPOUSE,Europe,Finland,2017,35.1571
WITH CHILDREN,Europe,Finland,2017,0.688617
WITH FAMILY/RELATIVES,Europe,Finland,2017,4.82032
STUDENT GROUP,Europe,Finland,2017,0
WITH FRIENDS,Europe,Finland,2017,49.6933
WITH BUSINESS ASSOCIATE,Europe,Finland,2017,0.688617
WITH INCENTIVE GROUP,Europe,Finland,2017,0
OTHERS,Europe,Finland,2017,0.688617
ALONE,Europe,Norway,2016,18.6441
WITH SPOUSE,Europe,Norway,2016,47.4576
WITH CHILDREN,Europe,Norway,2016,0
WITH FAMILY/RELATIVES,Europe,Norway,2016,1.69492
STUDENT GROUP,Europe,Norway,2016,0
WITH FRIENDS,Europe,Norway,2016,32.2034
WITH BUSINESS ASSOCIATE,Europe,Norway,2016,0
WITH INCENTIVE GROUP,Europe,Norway,2016,0
OTHERS,Europe,Norway,2016,0
ALONE,Europe,Norway,2017,27.5862
WITH SPOUSE,Europe,Norway,2017,51.7241
WITH CHILDREN,Europe,Norway,2017,0
WITH FAMILY/RELATIVES,Europe,Norway,2017,10.3448
STUDENT GROUP,Europe,Norway,2017,0
WITH FRIENDS,Europe,Norway,2017,10.3448
WITH BUSINESS ASSOCIATE,Europe,Norway,2017,0
WITH INCENTIVE GROUP,Europe,Norway,2017,0
OTHERS,Europe,Norway,2017,0
ALONE,Europe,Italy,2016,14.9606
WITH SPOUSE,Europe,Italy,2016,40.9449
WITH CHILDREN,Europe,Italy,2016,0.787402
WITH FAMILY/RELATIVES,Europe,Italy,2016,7.87402
STUDENT GROUP,Europe,Italy,2016,0
WITH FRIENDS,Europe,Italy,2016,30.7087
WITH BUSINESS ASSOCIATE,Europe,Italy,2016,4.33071
WITH INCENTIVE GROUP,Europe,Italy,2016,0
OTHERS,Europe,Italy,2016,0.393701
ALONE,Europe,Italy,2017,21.2938
WITH SPOUSE,Europe,Italy,2017,34.1455
WITH CHILDREN,Europe,Italy,2017,0.710832
WITH FAMILY/RELATIVES,Europe,Italy,2017,8.88539
STUDENT GROUP,Europe,Italy,2017,0
WITH FRIENDS,Europe,Italy,2017,27.1453
WITH BUSINESS ASSOCIATE,Europe,Italy,2017,7.10832
WITH INCENTIVE GROUP,Europe,Italy,2017,0
OTHERS,Europe,Italy,2017,0.710832
ALONE,Europe,Spain,2016,14.1593
WITH SPOUSE,Europe,Spain,2016,41.5929
WITH CHILDREN,Europe,Spain,2016,0.442478
WITH FAMILY/RELATIVES,Europe,Spain,2016,5.30973
STUDENT GROUP,Europe,Spain,2016,0
WITH FRIENDS,Europe,Spain,2016,35.8407
WITH BUSINESS ASSOCIATE,Europe,Spain,2016,2.65487
